기간	자치구	세대	인구	인구	인구	인구	인구	인구	인구	인구	인구	세대당인구	65세이상고령자
기간	자치구	세대	합계	합계	합계	한국인	한국인	한국인	등록외국인	등록외국인	등록외국인	세대당인구	65세이상고령자
기간	자치구	세대	계	남자	여자	계	남자	여자	계	남자	여자	세대당인구	65세이상고령자
2021.1/4	합계	4,400,403	9,828,094	4,774,856	5,053,238	9,598,484	4,667,524	4,930,960	229,610	107,332	122,278	2.18	1,567,819
2021.1/4	종로구	74,113	156,567	75,772	80,795	147,296	71,644	75,652	9,271	4,128	5,143	1.99	27,781
2021.1/4	중구	63,746	133,708	65,312	68,396	124,552	60,851	63,701	9,156	4,461	4,695	1.95	24,767
2021.1/4	용산구	112,881	243,336	118,120	125,216	229,013	110,181	118,832	14,323	7,939	6,384	2.03	39,575
2021.1/4	성동구	135,883	298,421	145,358	153,063	291,906	142,506	149,400	6,515	2,852	3,663	2.15	45,968
2021.1/4	광진구	166,638	356,191	171,131	185,060	343,392	165,747	177,645	12,799	5,384	7,415	2.06	50,370
2021.1/4	동대문구	165,924	352,570	173,309	179,261	338,875	167,895	170,980	13,695	5,414	8,281	2.04	60,868
2021.1/4	중랑구	185,506	396,807	195,639	201,168	392,041	193,752	198,289	4,766	1,887	2,879	2.11	69,841
2021.1/4	성북구	193,965	444,295	213,586	230,709	434,826	209,902	224,924	9,469	3,684	5,785	2.24	73,158
2021.1/4	강북구	144,410	307,537	149,582	157,955	304,078	148,306	155,772	3,459	1,276	2,183	2.11	62,893
2021.1/4	도봉구	138,120	323,752	157,562	166,190	321,717	156,810	164,907	2,035	752	1,283	2.33	62,360
2021.1/4	노원구	217,272	522,225	251,719	270,506	518,278	249,942	268,336	3,947	1,777	2,170	2.39	85,906
2021.1/4	은평구	212,725	479,607	229,589	250,018	475,501	227,910	247,591	4,106	1,679	2,427	2.24	85,140
2021.1/4	서대문구	143,180	318,814	151,331	167,483	308,482	147,655	160,827	10,332	3,676	6,656	2.15	53,440
2021.1/4	마포구	177,170	378,216	177,377	200,839	368,518	173,624	194,894	9,698	3,753	5,945	2.08	53,494
2021.1/4	양천구	180,682	456,019	223,450	232,569	452,677	222,010	230,667	3,342	1,440	1,902	2.51	66,231
2021.1/4	강서구	267,442	582,804	280,942	301,862	577,320	278,444	298,876	5,484	2,498	2,986	2.16	89,377
2021.1/4	구로구	180,027	426,675	212,092	214,583	401,074	198,034	203,040	25,601	14,058	11,543	2.23	70,717
2021.1/4	금천구	114,402	244,564	124,300	120,264	229,844	116,322	113,522	14,720	7,978	6,742	2.01	39,781
2021.1/4	영등포구	184,133	403,070	200,380	202,690	377,590	186,692	190,898	25,480	13,688	11,792	2.05	61,197
2021.1/4	동작구	183,579	398,205	192,187	206,018	388,730	188,045	200,685	9,475	4,142	5,333	2.12	65,396
2021.1/4	관악구	273,736	504,140	252,400	251,740	490,352	246,097	244,255	13,788	6,303	7,485	1.79	78,400
2021.1/4	서초구	172,181	425,103	203,489	221,614	421,315	201,619	219,696	3,788	1,870	1,918	2.45	60,209
2021.1/4	강남구	233,363	539,538	258,205	281,333	534,796	255,880	278,916	4,742	2,325	2,417	2.29	75,602
2021.1/4	송파구	280,237	667,115	321,658	345,457	661,411	319,047	342,364	5,704	2,611	3,093	2.36	94,145
2021.1/4	강동구	199,088	468,815	230,366	238,449	464,900	228,609	236,291	3,915	1,757	2,158	2.34	71,203
